source_id,title,authors,organization,publication,year,publication_date,source_type,peer_reviewed,evidence_grade,url,doi,access_date,notes
stanford2026aiindex,AI Index Report 2026,Stanford Institute for Human-Centered Artificial Intelligence,Stanford University,AI Index,2026,2026-01-01,institutional_report,false,B,https://hai.stanford.edu/ai-index/2026-ai-index-report,Not available,2026-07-22,"Compiles third-party evaluation results; graded B as an institutional compilation rather than an original measurement. Publication date recorded as the first of the month: only the year is stated. Footnotes 1, 7, and 12 of the source review."
fan2026halluhard,HalluHard: A hard multi-turn hallucination benchmark,"Fan, D.; Delsad, S.; Flammarion, N.; Andriushchenko, M.",Not publicly disclosed,arXiv preprint,2026,2026-02-01,preprint,false,B,https://arxiv.org/abs/2602.01031,Not available,2026-07-22,arXiv:2602.01031. Date inferred from the identifier and recorded as the first of the month. Footnotes 2 and 24.
rando2025longcodebench,LongCodeBench: Evaluating coding LLMs at 1M context windows,"Rando, S.; and others",Not publicly disclosed,arXiv preprint,2025,2025-05-01,preprint,false,B,https://arxiv.org/abs/2505.07897,Not available,2026-07-22,arXiv:2505.07897. Author list recorded as published in the source review and must be expanded from the paper. Footnotes 3 and 31.
crfm2025helmlongcontext,HELM Long Context,Stanford Center for Research on Foundation Models,Stanford University,HELM,2025,2025-01-01,benchmark_methodology,false,A,https://crfm.stanford.edu/helm/long-context/latest/,Not available,2026-07-22,Maintainer-run standardised evaluation under a published protocol. Footnotes 4 and 30.
fernandez2025energy,Energy considerations of large language model inference and efficiency optimizations,"Fernandez, J.; Na, C.; Tiwari, V.; Bisk, Y.; Luccioni, S.; Strubell, E.",Carnegie Mellon University; Hugging Face,Proceedings of ACL 2025,2025,2025-07-01,peer_reviewed,true,A,https://aclanthology.org/2025.acl-long.1563/,Not available,2026-07-22,Pages 32556 to 32569. Footnotes 5 and 35.
oviedo2026energy,Energy use of AI inference: Efficiency pathways and test-time compute,"Oviedo, F.; Kazhamiaka, F.; Choukse, E.; Kim, A.; Luers, A.; Nakagawa, M.; Bianchini, R.; Lavista Ferres, J. M.",Microsoft Research,Joule,2026,2026-01-01,peer_reviewed,true,A,https://www.sciencedirect.com/science/article/pii/S2542435126001145,Not available,2026-07-22,"Preprint issued as Microsoft Research 2025. Analytical estimates, not measurements of a named commercial service. Footnotes 6 and 36."
crfm2026helmcapabilities,HELM Capabilities,Stanford Center for Research on Foundation Models,Stanford University,HELM,2026,2026-01-01,benchmark_methodology,false,A,https://crfm.stanford.edu/helm/capabilities/latest/,Not available,2026-07-22,Maintainer-run standardised evaluation. Footnotes 8 and 10.
liang2022holistic,Holistic evaluation of language models,"Liang, P.; and others",Stanford University,arXiv preprint,2022,2022-11-01,preprint,false,B,https://arxiv.org/abs/2211.09110,Not available,2026-07-22,arXiv:2211.09110. Later published in Transactions on Machine Learning Research; the review cites the preprint. Footnote 9.
asirvatham2026gpt,GPT as a measurement tool,"Asirvatham, H.; and others",Harvard University,Working paper,2026,2026-02-01,institutional_report,false,B,https://shleifer.scholars.harvard.edu/sites/g/files/omnuum10626/files/2026-02/Paper%20PDF%20(February%202026).pdf,Not available,2026-07-22,Cited for judge bias in LLM-as-a-judge evaluation. Footnote 11.
bench3602025local,Bench360: Benchmarking local LLM inference from 360 degrees,Bench360 authors,Not publicly disclosed,arXiv preprint,2025,2025-11-01,preprint,false,B,https://arxiv.org/abs/2511.16682,Not available,2026-07-22,arXiv:2511.16682. Corporate author recorded as stated in the review; individual authors must be taken from the paper. Footnote 13.
seas2025edge,Generative AI at the edge: Challenges and opportunities,Harvard John A. Paulson School of Engineering and Applied Sciences,Harvard University,News and research summary,2025,2025-01-01,institutional_report,false,B,https://seas.harvard.edu/news/generative-ai-edge-challenges-and-opportunities,Not available,2026-07-22,Footnote 14.
deepseek2026preview,DeepSeek V4 Preview release,DeepSeek,DeepSeek,Web,2026,2026-04-24,technical_report,false,B,https://api-docs.deepseek.com/news/news260424/,Not available,2026-07-22,Discloses total and active parameter counts. Footnotes 15 and 51.
mistral2026medium,Mistral Medium 3.5 and remote agents,Mistral AI,Mistral AI,Web,2026,2026-01-01,documentation,false,B,https://mistral.ai/news/vibe-remote-agents-mistral-medium-3-5/,Not available,2026-07-22,Only the year is stated in the review; day recorded as the first of the year. Footnotes 16 and 53.
mistral2026small,Introducing Mistral Small 4,Mistral AI,Mistral AI,Web,2026,2026-01-01,documentation,false,B,https://mistral.ai/news/mistral-small-4/,Not available,2026-07-22,Only the year is stated in the review. Footnotes 17 and 54.
meta2025llama,The Llama 4 herd: Natively multimodal open-weight models,Meta,Meta,Web,2025,2025-04-05,technical_report,false,B,https://ai.meta.com/blog/llama-4-multimodal-intelligence/,Not available,2026-07-22,Date taken from the review's reference list as 2025; day and month require confirmation against the post. Footnotes 18 and 56.
qwen2025technical,Qwen3 technical report,Qwen Team,Alibaba,arXiv preprint,2025,2025-05-01,technical_report,false,B,https://arxiv.org/abs/2505.09388,Not available,2026-07-22,arXiv:2505.09388. Footnotes 19 and 57.
openai2026launch,GPT-5.6: Frontier intelligence that scales with your ambition,OpenAI,OpenAI,Web,2026,2026-01-01,documentation,false,C,https://openai.com/index/gpt-5-6/,Not available,2026-07-22,Launch page. Benchmark figures on this page are provider-reported and include figures for competitor models evaluated under OpenAI's own harness. Footnotes 20 and 42.
deepmind2026geminipro,Gemini 3.1 Pro,Google DeepMind,Google DeepMind,Web,2026,2026-01-01,documentation,false,C,https://deepmind.google/models/gemini/pro/,Not available,2026-07-22,Product page. Benchmark figures are provider-reported. Footnotes 21 and 46.
deepmind2024facts,FACTS Grounding: A benchmark for evaluating factuality,Google DeepMind,Google DeepMind,Web,2024,2024-12-17,benchmark_methodology,false,B,https://deepmind.google/blog/facts-grounding-a-new-benchmark-for-evaluating-the-factuality-of-large-language-models/,Not available,2026-07-22,Benchmark methodology page from the maintaining organisation. Day and month require confirmation. Footnote 22.
deepmind2025factssuite,FACTS Benchmark Suite: systematically evaluating the factuality of large language models,Google DeepMind,Google DeepMind,Web,2025,2025-01-01,benchmark_methodology,false,B,https://deepmind.google/blog/facts-benchmark-suite-systematically-evaluating-the-factuality-of-large-language-models/,Not available,2026-07-22,Footnote 23.
osiris2026package,LLM package hallucination research,NYU OSIRIS Lab,New York University,Research programme page,2026,2026-01-01,institutional_report,false,B,https://osiris.cyber.nyu.edu/research/,Not available,2026-07-22,Programme page rather than a single paper; the specific replication study should be cited directly once located. Footnote 25.
bowman2023eight,Eight things to know about large language models,"Bowman, S. R.",New York University,Working paper,2023,2023-04-01,preprint,false,B,https://cims.nyu.edu/~sbowman/eightthings.pdf,Not available,2026-07-22,Cited in the review for calibration and uncertainty. Footnote 26.
deepmind2026flashlite,Gemini 3.1 Flash-Lite model card,Google DeepMind,Google DeepMind,Model card,2026,2026-03-01,model_card,false,B,https://deepmind.google/models/model-cards/gemini-3-1-flash-lite/,Not available,2026-07-22,Throughput figure on this card is provider-reported and is recorded as Grade C at the point of use. Footnotes 27 and 47.
xai2026launch,Introducing Grok 4.5,xAI,xAI,Web,2026,2026-01-01,documentation,false,C,https://x.ai/news/grok-4-5,Not available,2026-07-22,Launch page. Throughput claim is provider-reported. Footnotes 28 and 49.
jin2025energy,The energy cost of reasoning: Analyzing energy usage in LLMs with test-time compute,"Jin, Y.; Wei, G.-Y.; Brooks, D.",Harvard University,arXiv preprint,2025,2025-05-01,preprint,false,B,https://arxiv.org/abs/2505.14733,Not available,2026-07-22,arXiv:2505.14733. Footnote 29.
ye2025longproc,LongProc: Benchmarking long-context language models on long procedural generation,"Ye, X.; Yin, F.; He, Y.; Zhang, J.; Yen, H.; Gao, T.; Durrett, G.; Chen, D.",Princeton University; University of Texas at Austin,arXiv preprint,2025,2025-01-01,preprint,false,B,https://arxiv.org/abs/2501.05414,Not available,2026-07-22,arXiv:2501.05414. Affiliations require confirmation from the paper. Footnote 32.
anthropic2026sonnet,Claude Sonnet 5 documentation and pricing notes,Anthropic,Anthropic,Claude Platform Documentation,2026,2026-01-01,documentation,false,B,https://platform.claude.com/docs/en/about-claude/models/overview,Not available,2026-07-22,Commercial terms from official documentation are Grade B. Footnotes 33 and 45.
deepseek2026pricing,Models and pricing,DeepSeek,DeepSeek,Web,2026,2026-01-01,pricing_page,false,B,https://api-docs.deepseek.com/quick_start/pricing/,Not available,2026-07-22,Footnotes 34 and 52.
iea2025energy,Energy and AI: Energy demand from AI,International Energy Agency,International Energy Agency,Energy and AI,2025,2025-04-10,government_report,false,B,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai,Not available,2026-07-22,Day and month require confirmation. Footnote 37.
iea2026keyquestions,Key questions on energy and AI,International Energy Agency,International Energy Agency,Report,2026,2026-01-01,government_report,false,B,https://www.iea.org/reports/key-questions-on-energy-and-ai/executive-summary,Not available,2026-07-22,Footnote 38.
liu2026position,Position: LLM inference should be evaluated as energy-to-token production,"Liu, X.; and others",Not publicly disclosed,arXiv preprint,2026,2026-05-01,preprint,false,B,https://arxiv.org/abs/2605.11733,Not available,2026-07-22,arXiv:2605.11733. Footnote 39.
wilhelm2025beyond,Beyond test-time compute strategies: Advocating energy-per-token in LLM inference,"Wilhelm, P.; Wittkopp, T.; Kao, O.",Technische Universitaet Berlin,EuroMLSys 2025,2025,2025-03-30,peer_reviewed,true,A,https://dl.acm.org/doi/10.1145/3721146.3721945,10.1145/3721146.3721945,2026-07-22,Affiliation requires confirmation. Footnote 40.
kao2026watt,Watt Counts: Energy-aware benchmark for sustainable LLM inference,"Kao, O.; and others",Not publicly disclosed,arXiv preprint,2026,2026-04-01,preprint,false,B,https://arxiv.org/abs/2604.09048,Not available,2026-07-22,arXiv:2604.09048. Footnote 41.
openai2026models,GPT-5.6 model documentation,OpenAI,OpenAI,Developer documentation,2026,2026-01-01,documentation,false,B,https://developers.openai.com/api/docs/models,Not available,2026-07-22,Specifications and commercial terms from official documentation are Grade B. Footnote 43.
anthropic2026overview,Models overview,Anthropic,Anthropic,Claude Platform Documentation,2026,2026-01-01,documentation,false,B,https://platform.claude.com/docs/en/about-claude/models/overview,Not available,2026-07-22,Footnote 44.
google2026pricing,Gemini Developer API pricing,Google,Google,Web,2026,2026-01-01,pricing_page,false,B,https://ai.google.dev/gemini-api/docs/pricing,Not available,2026-07-22,"The source review did not extract Gemini per-token prices, so no pricing row is recorded from this source. Footnote 48."
xai2026docs,Grok 4.5 model documentation,xAI,xAI,Developer documentation,2026,2026-01-01,documentation,false,B,https://docs.x.ai/developers/models/grok-4.5,Not available,2026-07-22,Footnote 50.
meta2026muse,Introducing Muse Spark 1.1,Meta,Meta,Web,2026,2026-01-01,documentation,false,B,https://ai.meta.com/blog/introducing-muse-spark-meta-model-api/,Not available,2026-07-22,Footnote 55.
qwen2026multimodal,Qwen3.5: Towards native multimodal agents,Qwen Team,Alibaba,Web,2026,2026-01-01,documentation,false,B,https://qwen.ai/blog?id=qwen3.5,Not available,2026-07-22,Footnote 58.
qwen2026realworld,Qwen3.6-Plus: Towards real-world agents,Qwen Team,Alibaba,Web,2026,2026-01-01,documentation,false,B,https://qwen.ai/blog?id=qwen3.6,Not available,2026-07-22,Footnote 59.
qwen2026agent,Qwen3.7: The agent frontier,Qwen Team,Alibaba,Web,2026,2026-01-01,documentation,false,B,https://qwen.ai/blog?id=qwen3.7,Not available,2026-07-22,Footnote 60.
